2020-07-22 16:50:51 _internal.py [line:113] INFO:  * Restarting with stat
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '182.253.86.214', 'port': '8080', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '印度尼西亚', 'score': 48, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '171.15.153.10', 'port': '9999', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '河南省鹤壁市  电信', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '112.64.41.169', 'port': '8118', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '上海市上海市  联通', 'score': 44, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '39.107.224.201', 'port': '8118', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_北京市阿里云', 'score': 47, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '131.196.253.10', 'port': '3128', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_欧洲', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:26 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '125.108.93.141', 'port': '9000', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '浙江省温州市  电信', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:26 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '60.205.188.24', 'port': '3128', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '北京市大兴区 阿里云计算有限公司 阿里云', 'score': 48, 'disable_domains': []}
2020-07-22 16:53:26 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.80.104.15', 'port': '8085', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_欧盟', 'score': 49, 'disable_domains': []}
2020-07-22 16:53:26 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '217.165.93.149', 'port': '53281', 'protocol_type': 1, 'anonymous_type': 2, 'idle': 4.71, 'area': '阿联酋', 'score': 50, 'disable_domains': []}
2020-07-22 16:53:26 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '103.151.47.244', 'port': '8080', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_亚太地区', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:26 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '60.205.188.24', 'port': '3128', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '北京市大兴区 阿里云计算有限公司 阿里云', 'score': 48, 'disable_domains': []}
2020-07-22 16:53:26 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.15.16.205', 'port': '8118', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:26 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '51.158.22.114', 'port': '5836', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '英国', 'score': 45, 'disable_domains': []}
2020-07-22 16:53:26 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '151.106.52.29', 'port': '5836', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '美国', 'score': 46, 'disable_domains': []}
2020-07-22 16:53:26 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '83.10.75.30', 'port': '8080', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '美国', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:26 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.80.104.55', 'port': '8085', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:26 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.80.104.45', 'port': '8085', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 41, 'disable_domains': []}
2020-07-22 16:53:26 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '171.15.153.10', 'port': '9999', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '河南省鹤壁市  电信', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:27 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '112.64.41.169', 'port': '8118', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '上海市上海市  联通', 'score': 44, 'disable_domains': []}
2020-07-22 16:53:27 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '182.253.86.214', 'port': '8080', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '印度尼西亚', 'score': 48, 'disable_domains': []}
2020-07-22 16:53:28 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '39.107.224.201', 'port': '8118', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_北京市阿里云', 'score': 47, 'disable_domains': []}
2020-07-22 16:53:28 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '125.108.93.141', 'port': '9000', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '浙江省温州市  电信', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:28 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '27.113.241.87', 'port': '8080', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '澳大利亚', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:28 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.80.104.15', 'port': '8085', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_欧盟', 'score': 49, 'disable_domains': []}
2020-07-22 16:53:29 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.80.104.13', 'port': '8085', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 44, 'disable_domains': []}
2020-07-22 16:53:30 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '103.251.225.18', 'port': '35101', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '印度', 'score': 49, 'disable_domains': []}
2020-07-22 16:53:30 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '131.196.253.10', 'port': '3128', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_欧洲', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:31 mongo_pool.py [line:50] WARNING: 已存在代理：{'ip': '45.15.17.136', 'port': '8118', 'protocol_type': 2, 'anonymous_type': 2, 'idle': 3.02, 'area': 'SSL高匿_欧盟', 'score': 50, 'disable_domains': []}
2020-07-22 16:53:32 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '103.251.225.18', 'port': '35101', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '印度', 'score': 49, 'disable_domains': []}
2020-07-22 16:55:30 __init__.py [line:465] INFO: Running job Every 2 minutes do run() (last run: 2020-07-22 16:53:30, next run: 2020-07-22 16:55:30)
2020-07-22 16:55:31 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '122.226.57.70', 'port': '8888', 'protocol_type': 0, 'anonymous_type': 2, 'idle': 0.74, 'area': '浙江省金华市  电信', 'score': 50, 'disable_domains': ['taobao.com']}
2020-07-22 16:55:31 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '180.114.165.149', 'port': '8118', 'protocol_type': 0, 'anonymous_type': 2, 'idle': 0.56, 'area': '江苏省无锡市', 'score': 50, 'disable_domains': []}
